review_id,user_id,business_id,name,postal_code,latitude,longitude,review_count,date,year,month,season,stars,text
wYeAU9jINzzA4eg0SDoYwQ,CSx-cOiyUdsjgbe7cqOLbg,RJPRi1pwocHNZr9ISz_P-A,National Underground,37201,36.1617952,-86.7744663,126,2015-08-20 03:08:28,2015,8,Summer,2.0,"To put it as nicely as I can, everything about this meal and experience was sub par. I once stopped here for a drink on the Pedal Tavern and remember seeing a sign that boasted ""best burger in Nashville!"" After ordering the cheeseburger, I realized that statement was about as true as the stuff you read on Wikipedia. It was a bland burger, nothing more and nothing less. The fries were good, though. 

The service, to also put it nicely, was pretty bad. When my brother and I walked in, we didn't know if we were supposed to seat ourselves or order at the bar. So, for about 5 minutes we waited at the bar, where there were only 3 or 4 other customers, and finally the bartender came over to take our order. My brother and I, we're pretty friendly, non-pushy people. But the bartender seemed put out by every request we made. I don't think she cracked a smile the entire time we were there.

One last complaint and I swear I'll be done...I asked for a cup of water and then the bartender brought me a bottled water and charged me $2. I asked her if I could get a cup of tap water but she said they only had bottled water. Since when do restaurants literally FORCE you to pay for water?

To sum it up, save your money and appetite for somewhere with better service and better food."
l5EAdO7LfvepYsw3zNvRTQ,IjFzxcmA8GjR6lEFNEIPfg,dYYkzkiAQoOtRjdR0kcspw,Tennessee Brew Works,37203,36.1504112236,-86.7759260162,421,2014-05-27 23:10:32,2014,5,Summer,5.0,"I drink TN Brew Works regularly at local spots all over town. I have a real sweet spot for their ESB-- SO GOOD. Anyway my husband's mother was in town and we decided to finally check out the TN Brew Works Taproom. The location seems a little off the map but once you arrive there are no worries. The taproom was busy but we still got front row parking. The space is really beautiful and has a lot of different nooks and crannies so even when busy you don't feel like you are in a crowded loud restaurant. We sat upstairs because we saw a band setting up downstairs and wanted to be able to hear each other. Once the band started I was so impressed with the sound level. It was very pleasant and traveled all over the building without being too loud or annoying at all. It was so nice. 

Definitely, travel down to Ewing and try this place out. Perfect place to drink beer!"
jWvEKvMqHFp3OesogASMcQ,0d3W1Fgll2J4W3E_xJ05NA,Sh5x88Ty9NGgMvLoIKxAiQ,Ole Red,37201,36.1617128,-86.7763333,629,2018-07-17 12:54:32,2018,7,Summer,4.0,"I enjoyed the entertainment and the food. Our waitress was excellent. I felt sorry for her, she had to walk so far. I don't think the restaurant is setup in mind of the servers."
UP2SFK1okoBzULISby7u_A,twnjVzD9eONjFKcwLzNStQ,kjhIbW8NKRvXmLDwz7lzhw,Margaritaville - Nashville,37201,36.16138,-86.777197,580,2013-11-15 15:20:31,2013,11,Winter,3.0,"Great, large portions of food with live music.  Margaritaville is a fun, beachy place with food ranging from fish tacos ($17) to burgers ($16.)  The music is good if  a bit loud.  Service was excellent.  You can people watch from the window tables and they angle to let in a nice breeze.  Lunch is a bit high, but that may be the area pricing as well.  Live music pours from all of the establishments along Broadway.  Nice lunch place!"
kCr80PWMCrzOq-J_g1krBw,ohRTwbQPO0bYAB6q0a3W7Q,6p07zfmJWvytr0paqpyvbg,Layla's Honky Tonk,37203,36.1609157,-86.7781032,194,2015-11-07 11:56:35,2015,11,Winter,4.0,"Best music on Broadway, in my opinion -- you won't hear classic rock covers here!"
DdE7iei3grIXVx_9A6FeWQ,TjyzaOTktk8prHekEkwZSQ,BWPokhrYnWdfxdaUaM6l9Q,Nashville Symphony,37201,36.1599355658,-86.7759658783,107,2018-07-09 06:05:19,2018,7,Summer,5.0,"This was one of our more memorable experience, date night for hubby and I.
Star Wars New Hope with symphony was awesome.Watching the movie and the Orchestra at the same time was so cool. If you enjoy these type of performances this is very good. The Orchestra was great, sounds were right on point,beautiful arrangement. The art of music and film was amazing to watch. Thank you Nashville Symphony 
We will return."
ZtX8HZ197B8cYVD3b3lxrg,l6_N0mhK-wc1eG3ChC_beg,dYYkzkiAQoOtRjdR0kcspw,Tennessee Brew Works,37203,36.1504112236,-86.7759260162,421,2015-11-20 05:04:54,2015,11,Winter,4.0,"Came in on a Wednesday for 2-for-1. Not a lot of variety of beer which is why I gave them 4 stars. 

They had a live band which was over by the time we arrived about and hour before closing.

Parking can be difficult if your coming on a busier night. Other than that i will definitely be coming again. Great beers!!!!"
yRksY1bj5KPtlropql9nOQ,EaX-K37oaNnO-GcrmCoWzA,RJPRi1pwocHNZr9ISz_P-A,National Underground,37201,36.1617952,-86.7744663,126,2013-05-11 01:30:47,2013,5,Summer,1.0,"Rude, surly, and unhelpful! Service was not just slow, it was HOSTILE. These people act like you are crashing a private party at their home! Not only did they not apologize for fucking up my order, they acted like I should apologize for asking them to fix it. I spend plenty of time in dive bars with ""relaxed"" service. But these people were not ""relaxed,"" they were pissed at customers for being there. No wonder we were some of the only people there on a Friday night. Plus, the bathrooms are nasty (even for a bar) and the whole place REEKS of old beer. I could get better food and service at a Quick Trip, and Quick Trip will give you FREE WATER."
K3Zy2i4ekYkrWpJjK-nawQ,hkSiQAfl6w3882JJQzRTlQ,KC4Eo1S3AMA2qk8ULiLEkg,Bridgestone Arena,37203,36.1591434847,-86.7785167696,232,2015-11-21 21:19:24,2015,11,Winter,4.0,"Hitting the Town? Start with something at Bridgestone Arena if an event is happening like hockey. This arena is actually really nice with a lot of great restaurants and drink choices inside at reasonable stadium prices. There is actually a bar called the Patron Platinum Club that is open to the public but, a lot of people don't realize it is accessible for everyone. What I really like about this arena is that it is literally next door to all the action on Broadway and is perfect for drunkenly stumbling starting your night on the town. Plus if you are going to a hockey game the Predators are actually pretty decent and puck bunnies are always hot."
FI-aZmp2PGSg2SUQwk9lhg,Z5hz8HYgVbiX-G7SNfdgQA,BWPokhrYnWdfxdaUaM6l9Q,Nashville Symphony,37201,36.1599355658,-86.7759658783,107,2014-01-19 01:41:16,2014,1,Winter,5.0,A beautiful space that sometimes offers unique experiences. I went to see a screening of Casablanca where the orchestra performed the soundtrack live! It was incredible.
